fftBuffer[243].imag, 0xFFFB, ,FFFB,65531
fftBuffer[244].real, 0x0019, ,0019,25
fftBuffer[244].imag, 0xFFD3, ,FFD3,65491
fftBuffer[245].real, 0x0065, ,0065,101
fftBuffer[245].imag, 0x0039, ,0039,57
fftBuffer[246].real, 0x003F, ,003F,63
fftBuffer[246].imag, 0x0006, ,0006,6
fftBuffer[247].real, 0x003F, ,003F,63
fftBuffer[247].imag, 0x0006, ,0006,6
fftBuffer[248].real, 0xFFFD, ,FFFD,65533
fftBuffer[248].imag, 0xFFFD, ,FFFD,65533
fftBuffer[249].real, 0x0003, ,0003,3
fftBuffer[249].imag, 0xFFFD, ,FFFD,65533
fftBuffer[250].real, 0x0040, ,0040,64
fftBuffer[250].imag, 0x0003, ,0003,3
fftBuffer[251].real, 0x0040, ,0040,64
fftBuffer[251].imag, 0x0003, ,0003,3
fftBuffer[252].real, 0x0000, ,0000,0
fftBuffer[252].imag, 0xFFFE, ,FFFE,65534
fftBuffer[253].real, 0x0040, ,0040,64
fftBuffer[253].imag, 0x0001, ,0001,1
fftBuffer[254].real, 0x0020, ,0020,32
fftBuffer[254].imag, 0x0000, ,0000,0
fftBuffer[255].real, 0x0020, ,0020,32
fftBuffer[255].imag, 0x0000, ,0000,0
fftBuffer[256].real, 0x015C, ,015C,348
fftBuffer[256].imag, 0xFFD4, ,FFD4,65492
fftBuffer[257].real, 0x001F, ,001F,31
fftBuffer[257].imag, 0xFFFD, ,FFFD,65533
fftBuffer[258].real, 0x0000, ,0000,0
fftBuffer[258].imag, 0x0004, ,0004,4
fftBuffer[259].real, 0x0000, ,0000,0
fftBuffer[259].imag, 0x0004, ,0004,4
fftBuffer[260].real, 0x001C, ,001C,28
fftBuffer[260].imag, 0xFFDE, ,FFDE,65502
fftBuffer[261].real, 0x0023, ,0023,35
fftBuffer[261].imag, 0x001C, ,001C,28
fftBuffer[262].real, 0x0020, ,0020,32
fftBuffer[262].imag, 0xFFFD, ,FFFD,65533
fftBuffer[263].real, 0x001F, ,001F,31
fftBuffer[263].imag, 0xFFFD, ,FFFD,65533
fftBuffer[264].real, 0xFFF4, ,FFF4,65524
fftBuffer[264].imag, 0xFFF4, ,FFF4,65524
fftBuffer[265].real, 0x001A, ,001A,26
fftBuffer[265].imag, 0x0016, ,0016,22
fftBuffer[266].real, 0xFFFA, ,FFFA,65530
fftBuffer[266].imag, 0x0007, ,0007,7
fftBuffer[267].real, 0xFFFB, ,FFFB,65531
fftBuffer[267].imag, 0x0007, ,0007,7
fftBuffer[268].real, 0x0004, ,0004,4
fftBuffer[268].imag, 0x0001, ,0001,1
fftBuffer[269].real, 0xFFFD, ,FFFD,65533
fftBuffer[269].imag, 0x000B, ,000B,11
fftBuffer[270].real, 0x0000, ,0000,0
fftBuffer[270].imag, 0x0006, ,0006,6
