squaredMagnitude[425], 0x0000,
squaredMagnitude[426], 0x0000,
squaredMagnitude[427], 0x0000,
squaredMagnitude[428], 0x0000,
squaredMagnitude[429], 0x0000,
squaredMagnitude[430], 0x0000,
squaredMagnitude[431], 0x0000,
squaredMagnitude[432], 0x0000,
squaredMagnitude[433], 0x0000,
squaredMagnitude[434], 0x0000,
squaredMagnitude[435], 0x0000,
squaredMagnitude[436], 0x0000,
squaredMagnitude[437], 0x0000,
squaredMagnitude[438], 0x0000,
squaredMagnitude[439], 0x0000,
squaredMagnitude[440], 0x0000,
squaredMagnitude[441], 0x0000,
squaredMagnitude[442], 0x0000,
squaredMagnitude[443], 0x0000,
squaredMagnitude[444], 0x0000,
squaredMagnitude[445], 0x0000,
squaredMagnitude[446], 0x0000,
squaredMagnitude[447], 0x0000,
squaredMagnitude[448], 0x0000,
squaredMagnitude[449], 0x0000,
squaredMagnitude[450], 0x0000,
squaredMagnitude[451], 0x0000,
squaredMagnitude[452], 0x0000,
squaredMagnitude[453], 0x0000,
squaredMagnitude[454], 0x0000,
squaredMagnitude[455], 0x0000,
squaredMagnitude[456], 0x0000,
squaredMagnitude[457], 0x0000,
squaredMagnitude[458], 0x0000,
squaredMagnitude[459], 0x0000,
squaredMagnitude[460], 0x0000,
squaredMagnitude[461], 0x0000,
squaredMagnitude[462], 0x0000,
squaredMagnitude[463], 0x0000,
squaredMagnitude[464], 0x0000,
squaredMagnitude[465], 0x0000,
squaredMagnitude[466], 0x0000,
squaredMagnitude[467], 0x0000,
squaredMagnitude[468], 0x0000,
squaredMagnitude[469], 0x0000,
squaredMagnitude[470], 0x0000,
squaredMagnitude[471], 0x0000,
squaredMagnitude[472], 0x0000,
squaredMagnitude[473], 0x0000,
squaredMagnitude[474], 0x0000,
squaredMagnitude[475], 0x0000,
squaredMagnitude[476], 0x0000,
squaredMagnitude[477], 0x0000,
squaredMagnitude[478], 0x0000,
squaredMagnitude[479], 0x0000,
squaredMagnitude[480], 0x0000,
squaredMagnitude[481], 0x0000,
squaredMagnitude[482], 0x0000,
squaredMagnitude[483], 0x0000,
squaredMagnitude[484], 0x0000,
squaredMagnitude[485], 0x0000,
squaredMagnitude[486], 0x0000,
squaredMagnitude[487], 0x0000,
squaredMagnitude[488], 0x0000,
squaredMagnitude[489], 0x0000,
squaredMagnitude[490], 0x0000,
squaredMagnitude[491], 0x0000,
squaredMagnitude[492], 0x0000,
squaredMagnitude[493], 0x0000,
squaredMagnitude[494], 0x0000,
squaredMagnitude[495], 0x0000,
squaredMagnitude[496], 0x0000,
squaredMagnitude[497], 0x0000,
squaredMagnitude[498], 0x0000,
squaredMagnitude[499], 0x0000,
squaredMagnitude[500], 0x0000,
squaredMagnitude[501], 0x0000,
squaredMagnitude[502], 0x0000,
squaredMagnitude[503], 0x0000,
squaredMagnitude[504], 0x0000,
squaredMagnitude[505], 0x0000,
squaredMagnitude[506], 0x0000,
squaredMagnitude[507], 0x0000,
squaredMagnitude[508], 0x0000,
squaredMagnitude[509], 0x0000,
squaredMagnitude[510], 0x0000,
squaredMagnitude[511], 0x0000,
